dataset,model,parameter,reference_value,source_priority,source,selection_reason,fixed_across_ratios,status
GHL,LSTM-AD,model_structure,encoder-decoder LSTM; hidden=20; layers=2; horizon=1,4,TSB-AD LSTMAD,채택 구현의 예측 구조를 그대로 쓴다.,True,verified
GHL,LSTM-AD,input_window,100,4,TSB-AD run_LSTMAD,채택 wrapper의 실제 입력 길이다.,True,verified
GHL,LSTM-AD,batch_size,128,4,TSB-AD run_LSTMAD,wrapper가 명시한 batch다.,True,verified
GHL,LSTM-AD,max_epochs,50,4,TSB-AD LSTMAD,채택 구현의 상한이다. 원본의 49 epoch 종료 조건은 바로잡아야 한다.,True,adapter_required
GHL,LSTM-AD,optimizer,"Adam(lr=0.0008); StepLR(step=5,gamma=0.75)",4,TSB-AD LSTMAD,채택 구현의 학습 규칙이다.,True,verified
GHL,LSTM-AD,early_stopping,patience=3; delta=0.0001,4,TSB-AD LSTMAD,채택 구현의 조기 종료 규칙이다.,True,adapter_required
GHL,LSTM-AD,loss,MSE one-step forecast,4,TSB-AD LSTMAD,채택 구현의 학습 손실이다.,True,verified
GHL,LSTM-AD,activation,GELU decoder output projection,4,TSB-AD LSTMAD,채택 구현의 decoder 구조다.,True,verified
GHL,LSTM-AD,anomaly_score,per-channel absolute forecast error; robust normalization; channel max,5,project score contract,학습 손실은 MSE로 두고 출력 점수는 공통 절대오차 계약을 따른다.,True,adapter_required
GHL,LSTM-AD,input_normalization,fit-only MinMax; internal split normalization disabled,5,project preprocessing contract,validation과 test 자체 통계 사용을 막는다.,True,adapter_required
GHL,LSTM-AD,validation_ratio,0.1,5,project preprocessing contract,내부 20% 재분할 대신 공통 경계를 쓴다.,True,adapter_required
GHL,LSTM-AD,drop_last,False,4,TSB-AD LSTMAD DataLoader,마지막 작은 batch도 학습에 쓴다.,True,verified
GHL,USAD,model_structure,official dual-decoder USAD with two optimizers,2,manigalati/usad usad.py,공식 구현을 TSB-AD 포팅보다 우선한다.,True,local_source_mismatch
GHL,USAD,input_window,10,1,USAD paper sensitivity and WADI setting,GHL 결과를 보기 전에 정한 transfer 기준이다.,True,verified
GHL,USAD,hidden_and_latent,"D=10N; D/2,D/4; latent=100",1,USAD paper WADI setting and official usad.py,WADI에 적힌 latent 100만 옮기고 데이터 전처리 전체를 복제하지 않는다.,True,local_source_mismatch
GHL,USAD,batch_size,128,5,project fixed transfer rule,"SWaT 규모에 묶인 7,919를 옮기지 않고 모든 GHL 비율에 128을 고정한다.",True,fixed
GHL,USAD,max_epochs,70,1,USAD paper SWaT/WADI setting,논문 데이터셋별 실험값을 우선한다.,True,local_source_mismatch
GHL,USAD,optimizer,"two Adam(lr=0.001, betas=(0.9,0.999), eps=1e-8, weight_decay=0)",2,manigalati/usad usad.py,encoder+decoder1과 encoder+decoder2를 따로 갱신한다.,True,local_source_mismatch
GHL,USAD,optimizer_updates_per_batch,2,2,manigalati/usad usad.py,공식 학습은 batch마다 두 optimizer를 한 번씩 갱신한다.,True,local_source_mismatch
GHL,USAD,early_stopping,none,1,USAD paper and official code,70 epoch를 고정하고 조기 종료하지 않는다.,True,local_source_mismatch
GHL,USAD,loss,official alternating loss1/loss2,2,manigalati/usad usad.py,논문의 두 autoencoder 학습 의미를 보존한다.,True,local_source_mismatch
GHL,USAD,activation,ReLU encoder; Sigmoid decoders,2,manigalati/usad usad.py,공식 구현의 출력 범위와 맞춘다.,True,local_source_mismatch
GHL,USAD,anomaly_score,"alpha=0.5,beta=0.5; window-mean absolute error per channel; robust normalization; channel max",5,official USAD weights + project score contract,공식 가중치는 유지하되 출력은 공통 절대오차·채널 max 계약에 맞춘다.,True,adapter_required
GHL,USAD,sampling_policy,no downsampling; preserve GHL observation interval,5,project data protocol,WADI의 일부 파라미터만 옮기며 GHL 시간축은 바꾸지 않는다.,True,fixed
GHL,USAD,input_normalization,fit-only MinMax; reuse on validation and test,5,project preprocessing contract,split별 자체 표준화를 금지한다.,True,adapter_required
GHL,USAD,validation_ratio,0.1,5,project preprocessing contract,공통 시간순 validation 경계를 쓴다.,True,adapter_required
GHL,USAD,drop_last,False,2,official USAD DataLoader,마지막 작은 batch도 사용한다.,True,verified
GHL,GDN,model_structure,learned sensor graph; one-step forecast,1,GDN paper,센서 관계를 학습하는 주 모델 정의다.,True,verified
GHL,GDN,input_window,5,1,GDN paper SWaT/WADI experiments,논문 실험값을 CLI 기본 15보다 우선한다.,True,verified
GHL,GDN,embedding_dimension,64,2,d-ailin/GDN run.sh,공식 실행 스크립트 값이다.,True,verified
GHL,GDN,output_hidden_dimension,128,2,d-ailin/GDN run.sh,공식 실행 스크립트가 CLI 기본 256을 덮어쓴다.,True,verified
GHL,GDN,output_layer_count,1,2,d-ailin/GDN run.sh,공식 실행 스크립트 값이다.,True,verified
GHL,GDN,heads,1,4,pinned GraGOD implementation,현재 채택 구현의 단일 head 구조다.,True,verified
GHL,GDN,dropout,0.2,2,d-ailin/GDN model.py,원 저자 모델의 출력 dropout 값이다. GraGOD는 같은 인자를 attention에도 적용한다.,True,local_source_mismatch
GHL,GDN,topk,5,5,project fixed transfer rule,GHL·HAI 성능을 보기 전에 채널 수에 맞춰 고정한 프로젝트 값이다.,True,fixed
GHL,GDN,batch_size,32,2,d-ailin/GDN run.sh,공식 실행 스크립트 값이다.,True,verified
GHL,GDN,train_and_evaluation_stride,train=1; evaluation=1,2,d-ailin/GDN run.sh and TimeDataset.py,run.sh의 SLIDE_STRIDE=1과 평가 구간의 고정 stride 1을 따른다.,True,verified
GHL,GDN,max_epochs,50,1,GDN paper SWaT/WADI experiments,논문에 적힌 최대 학습 횟수를 우선한다.,True,verified
GHL,GDN,optimizer,"Adam(lr=0.001, weight_decay=0)",2,d-ailin/GDN train.py/run.sh,공식 학습 코드와 일치한다.,True,verified
GHL,GDN,adam_betas,"(0.9,0.99)",1,GDN paper SWaT/WADI experiments,논문에 적힌 Adam 설정을 따른다.,True,verified
GHL,GDN,scheduler_and_gradient_clip,none,2,d-ailin/GDN train.py,원 저자 학습 경로에는 scheduler와 gradient clipping이 없다.,True,adapter_required
GHL,GDN,early_stopping,patience=10,1,GDN paper SWaT/WADI experiments,논문에 적힌 조기 종료 규칙을 따른다.,True,verified
GHL,GDN,loss,MSE one-step forecast,2,d-ailin/GDN train.py,공식 학습 손실이다.,True,verified
GHL,GDN,anomaly_score,per-channel absolute forecast error; channel max after normalization,5,project score contract,공통 점수 인터페이스와 현재 GDN 계산이 맞는다.,True,fixed
GHL,GDN,input_normalization,fit-only MinMax; reuse on validation and test,5,project preprocessing contract,GDN 내부에는 별도 scaling이 없어 그대로 적용된다.,True,fixed
GHL,GDN,validation_ratio,0.1,5,project preprocessing contract,전체 정상 구간에서 마지막 10%를 먼저 고정하고 남은 fit pool에 비율을 적용한다.,True,fixed
GHL,GDN,drop_last,False,4,pinned GraGOD DataLoader,마지막 작은 batch도 사용한다.,True,verified
